[00:00:00] 去大厂面是AI架构港
[00:00:01] 面是关要是问你
[00:00:02] 你们的A陈特记忆管理是怎么做的
[00:00:05] 你可千万别张口就打
[00:00:06] 用校量库和RG劳力使记录
[00:00:08] 评判判判判
[00:00:09] 我保证你只要这么回答
[00:00:12] 面是关心理就已经给你打了个大差
[00:00:14] 为什么因为懂不懂生产级的记忆架构
[00:00:17] 就是年线三十万和六十万的分随领
[00:00:20] 今天这套大厂都在用的分层机系统设计
[00:00:23] 绝对是帮你拉开简历差距的降为打击
[00:00:26] 本期视频我们先来聊聊
[00:00:28] 向量库家RG在真实项目里留下的两大工程盲区
[00:00:33] 把这些让人头疼的并应给一次性纠出来
[00:00:36] 然后我们会直接给出解药
[00:00:38] 手拔手带大家设计一套四层记忆架构体系
[00:00:41] 交你用类传和结构化数据库作分流
[00:00:44] 把头给消耗直接砍下来
[00:00:46] 紧接着我们会拆解大厂长用的
[00:00:49] LVP工程股价
[00:00:51] 看看怎么做敏感数据的
[00:00:53] 拖敏和状态控制
[00:00:54] 最后也是最硬和的部分
[00:00:56] 我们会解锁双时间机制和程序信记忆
[00:00:59] 解决让人抓狂的持续冲突
[00:01:01] 让你的智能体真正学会自我竞话
[00:01:04] 在视频的墨维我还专门整理了一套
[00:01:06] 毕竟是的打提套路
[00:01:08] 帮你把这套债构变成
[00:01:09] 面试和简历里的稀经力气
[00:01:11] 好我们先来聊第一个让人头疼的硬伤
[00:01:14] 在计算机的世界里
[00:01:15] 语意相似度真的不能代表强移制性的精准匹配
[00:01:19] 我们可以用日常生活中一个非常接地气的例子来理解
[00:01:23] 比如我们去快地依战取快地
[00:01:25] 我们要的是什么
[00:01:26] 是精确到每一个数字和字母的取接马
[00:01:30] 对吧
[00:01:30] 这个马少一个数字
[00:01:31] 或者中间错了一位
[00:01:32] 我们都是拿不到快地的
[00:01:34] 在我们实际的商业项目里
[00:01:36] 这种需要绝对精准的信息简直太多了
[00:01:39] 像是企业的垃圾人时别号
[00:01:41] 经历设备的自别马
[00:01:43] 或者用户的身份证号又会劝代马
[00:01:46] 这些数据都有一个共同的特点
[00:01:47] 那就是需要百分百强
[00:01:49] 一直性的精准提取
[00:01:50] 错一个字符整个业务流就跑崩了
[00:01:53] 但是我们回过头来想想
[00:01:55] 相量数据库它是怎么工作的
[00:01:57] 它是把文字转化成相量
[00:01:59] 然后去计算彼此在空间里的语意相似度
[00:02:02] 这时候如果你用相量检所去查这些确定性的信息
[00:02:05] 它就会开始犯糊涂
[00:02:07] 它可能会觉得税毫A和税毫B看起来差不多
[00:02:10] 甚至自作聪明的给你匹配处一个相似的ID
[00:02:14] 结果就是整个系统里引入了大量的造点和邏輯错误
[00:02:18] 大模型拿到了错误的数据
[00:02:20] 当然只能胡说八道了
[00:02:21] 这种用模糊匹配去解决
[00:02:23] 兴趣问题的做法在生产环境里就是一颗定时炸弹
[00:02:27] 避开了第一个坑还有一个更隐蔽也更难解决的问题
[00:02:30] 那就是时间维度的盲区
[00:02:32] 我们来谋理一个极其常见的业务场景
[00:02:35] 假设我们有一个智能助手
[00:02:37] 在T1时刻用户跟他说
[00:02:39] 我下个月要搬取杭州柱
[00:02:40] 这时候系统老老实实地把这条物理状态存进了相量库
[00:02:45] 过了几个月到了T2时刻
[00:02:46] 计划感不上变化
[00:02:48] 用户又跟他说
[00:02:49] 因为工作变动
[00:02:50] 我现在改去程度居住了
[00:02:52] 同样这条心状态也被存进了相量库
[00:02:55] 好了
[00:02:55] 现在智能体续要帮用户定机票或者推荐外卖了
[00:02:59] 他在后台去相量库里检所
[00:03:01] 用户现在的居住地在哪
[00:03:03] 这时候在那儿就发生了
[00:03:05] 因为住在杭州和柱在程度这两句话
[00:03:08] 在语意上是不是高度相似
[00:03:10] 相量数据库是没有时间关键的
[00:03:12] 他只看语意相不像
[00:03:13] 于是他开开心心的
[00:03:15] 把这两条记录同时捞了出来
[00:03:17] 一起塞给了大模型
[00:03:18] 智能体看着手里这两条打价的信息
[00:03:21] 彻底啥眼了
[00:03:22] 他根本分不清哪个是现在进行时
[00:03:25] 哪个是已经失效的过去完成时
[00:03:27] 最后的结果要么就是他产生患觉开始乱猜
[00:03:30] 要么就是带着过期的错误信息继续帮用户做决策
[00:03:33] 这就是为什么只靠传统R-AG的AGNTA
[00:03:36] 永远只能在测试结断跑一跑的原因
[00:03:39] 所以在动手写带马之前
[00:03:41] 我们必须在关键上做一次重够
