[00:00.000] 我做了一个Skill能把AI协作项目里
[00:02.480] 轻身经历过的高价之经验
[00:04.440] 自动沉电沉可复用的知识
[00:06.280] 採过的坑
[00:07.120] 做过的绝测
[00:07.960] 跑通的方案误出的洞界
[00:09.680] 不再只散落在海量的对话里
[00:11.680] 而是纯肉知识库
[00:12.840] 被后续的项目直接复用
[00:14.560] 嗨 你好 我是布丁可
[00:15.680] 短短一段时间
[00:16.840] 最近给传统行业的朋友
[00:18.320] 交付了几个定制Adding的
[00:19.920] 实在没顾上做视频
[00:21.640] 这几个月我工作上的高价产数
[00:23.840] 已经百分之百是用Codex
[00:25.920] 或者Cloud Code来完成了
[00:27.440] AI Agent确实托着我的能力编辑
[00:30.240] 但同时也带来了新的痛点
[00:32.240] 看看你有没有也遇到过
[00:36.240] 例如我最近有个项目要对接非速机器人
[00:38.880] 刚开始以为很简单一句话就调通了
[00:41.520] 结果却出现了机器人
[00:43.040] 是不是收不到消息的问题
[00:44.680] 我跟AI来回排查了好几轮
[00:46.560] 才把这个问题解决
[00:47.960] 后来第2个项目居然又遇到了同样的问题
[00:50.720] 我突然想起来
[00:51.560] 这个坑之前不是采购吗
[00:53.200] 于是我不得不回到之前的项目里
[00:55.240] 去翻早聊天记录
[00:56.640] 让AI把之前的解决经验
[00:58.520] 总结成一篇Mark蛋文档
[01:00.400] 带到新的项目里才把问题解决
[01:02.440] 这一次我还能记得起来
[01:04.280] 自己在哪个项目里遇到过它
[01:06.200] 要是想不起来呢
[01:07.480] 如果你同时再用Codex
[01:09.160] Cloud Code等多个Agent
[01:11.120] 可能连该去哪里翻早都不知道
[01:13.360] 所以我想要的其实很简单
[01:18.000] 当项目里真正解决了一个问题
[01:20.160] 就让Agent主动把经验记下来
[01:22.320] 以后再遇到类似的情况
[01:24.120] 它能先查找一遍
[01:25.440] 而不是等我的提醒
[01:26.840] 如果这条经验不止对当前的项目有用
[01:29.600] 再把它放进Obsidian No型或者非书
[01:32.440] 留给其他的项目继续用
[01:34.320] 这样一来换项目换Agent
[01:36.440] 不等于经验清零
[01:37.920] 让你的AI越来越滋生
[01:39.880] 一开始我用的方法很笨
[01:41.760] 我让Agent把采坑经验
[01:43.760] 决策依据目标和计划
[01:45.560] 全部都进进项目里的同一个Mark蛋文档
[01:48.280] 每次开工前先读一遍
[01:50.080] 由竞转就完里面捕
[01:51.560] 用下来发现真相
[01:53.160] 但是写着写着问题也来了
[01:55.040] 所有的内容都挤在一个文件里
[01:57.120] 越来越像一个大杂惠
[01:58.640] 每个项目的名字都不一样
[02:00.680] 有的叫Memory
[02:01.640] 有的叫Plant
[02:02.480] 还有的叫Nurn
[02:03.480] 格式也全靠林厂发挥
[02:05.440] 几个项目同时推进的时候
[02:07.200] 别说AI了
[02:08.120] 自己都有脸对不上靠
[02:09.680] 不过这个笨办法至少证明了一件事
[02:12.120] 把项目的经验留下来确实有用
[02:14.440] 接下来要解决的
[02:15.480] 只是怎么把它做成一套稳定的规则
[02:17.920] 于是我做了一个Agent's skill
[02:19.760] 叫Project the Care
[02:21.800] 我把它做的事叫做经验知识化
[02:24.160] 项目里秦深经历过的采坑经验
[02:26.520] 关键决策探索成果和灵感动件
[02:29.160] 会先留在项目里真正具备复用价值的
[02:31.960] 在经过你的确认进入长期知识库
[02:34.640] 日常记录由Agent的自动完成
[02:36.760] Airn这个词指的是旅行者
[02:38.840] 在路上用石头雷起的路标
[02:41.000] 前面有人走过这里
[02:42.240] 留下一对石头
[02:43.240] 后面的人看到
[02:44.360] 就知道这条路有人走过
[02:46.040] 也知道该往哪边走
[02:47.680] Project the Caren想做的也是这件事
[02:50.240] 上一个项目解决过的问题
[02:52.040] 到了下一个项目
[02:52.960] 不必再摸黑走一遍
[02:56.880] 这个也面展示了Project the Caren的完整结构
[03:00.160] 它分两侧
[03:01.040] 用8种文档配合9个步则
[03:03.160] 把一条经验从产生保存
[03:05.720] 一直送到下一个项目
[03:07.160] 左边是项目侧
[03:08.200] 也就是你正在使用的Codex
[03:10.240] Codecodeworkbody这些Agent
[03:12.400] 右边是知识库侧
[03:13.840] 目前以阶桶Obsetting
[03:15.320] Notion和飞书
[03:16.440] 项目侧记录的是这个项目正在发生什么
[03:19.080] 知识库侧则保存那些值得长期记录和复用的经验
[03:22.920] Project the Caren在中间负责流转
[03:25.400] 接下来我们沿着这条路走一遍
[03:29.320] Project the Caren是一个Agent的Skill
[03:31.640] 装好以后对Agent的说一句
[03:34.040] 出实话Project the Caren
[03:37.840] Agent会先跟你做一轮互动问答
[03:40.280] 比如项目的一句话定位
[03:42.000] 沉淀下来的经验
[03:43.120] 存到哪个知识库
[03:44.280] Obsetting
[03:44.920] Notion还是飞书
[03:46.000] 你也可以暂时不配置知识库
[03:47.720] 等后面有了具体内容想保存的时候再说
[03:50.520] 你只需要跟着引导一步步完成
[03:52.520] Agent就会自动做好相应的配置
[03:54.720] 对了不只是新项目
[03:55.920] 已经进行中的老项目也可以随时进入
[03:58.320] 出实话后项目规则会写进Agent.MD
[04:01.520] 以后Agent每次进来都会先按照这条规则做事
[04:05.320] 同时项目里会多出一个叫Caren的文件家
[04:08.440] 项目的经验都会存在这里
[04:10.320] Caren文件家和项目最重要交付的代码
[04:13.320] 成果文党
[04:14.080] 这些真正的工程资产格离开
[04:16.120] 互不打扰
[04:16.920] 这些工程资产往往随着项目的交付就交出去了
[04:20.920] 而项目记得的经验会留在Caren里面
[04:23.720] 持续为我所用
[04:28.120] 当项目有了实质的进展
[04:29.920] Agent会在Log.MD顶部机一条
[04:32.720] 做了什么
[04:33.320] 定了什么
[04:34.120] 详细内容放在哪里都能
[04:35.920] 记录在啊
[04:36.920] 他只写灾药加紫针
[04:38.720] 单调步超过二十行
[04:40.120] 保持日质的轻快
[04:41.520] 为什么要叫紫针
[04:42.920] Log为了保持轻量化
[04:44.320] 只记一条灾药
[04:45.520] 如果有详细的文党
[04:46.720] 在附上链接
[04:47.720] 只向记录详细的那篇文党
[04:49.720] 这个链接就叫紫针
[04:51.320] 而紫上的详细文党
[04:52.720] 就是沉淀下来的知识
[04:54.320] 就是后面要讲的主题文党
[04:56.120] 当然就算这次推进没有沉淀主题文党
[04:58.720] 只要有实质性的动作
[05:00.320] Log也会照样记忆比
[05:01.920] 以后再回来
[05:02.920] 先少一眼Log
[05:04.120] 就能知道这段时间发生了什么
[05:06.120] 不必从忙忙的对话里考古
[05:10.120] 如果一件事
[05:11.120] 没法在一个会话里做完
[05:12.920] Agent会创建
[05:13.920] Rodemapp.md
[05:15.520] 里面只维护三内信息
[05:17.120] 里程碑当前焦点
[05:18.520] 和还没有解决的问题
[05:20.120] 项目向前走一步
[05:21.320] 完成的里程碑就被勾掉
[05:23.120] 当前的焦点在一道下一件事
[05:25.120] Rodemapp也不展开长篇细节
[05:27.520] 某个目标
[05:28.120] 如果有对应的主题文党
[05:29.720] 就用紫针纸过去
[05:30.920] 需要实在顺吞摸刮看响情
[05:33.320] Rodemapp是朝前看
[05:34.720] 告诉你
[05:35.120] 接下来要做什么
[05:36.120] Log是朝后看
[05:37.320] 告诉你之前发生过什么
[05:39.120] 两份文党放在一起
[05:40.520] 换会话
[05:41.320] 换Agent
[05:41.920] 甚至换帐号
[05:43.120] 回来以后也不用把背景
[05:44.720] 再重新讲一遍
[05:45.920] 它还可以管住那些很走的AI
[05:48.120] 有些地方明明已经否决了
